timestamp,Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Gust  [sfc],High Cloud Cover  [high cld lay],Mean Sea Level Pressure  [MSL]
2020-12-17 00:00:00,8.225035,336.8014,18,0,1015
2020-12-17 01:00:00,8.217153,331.1892,18.359999,0,1014.9
2020-12-17 02:00:00,8.287822,325.6197,19.8,0,1014.8
2020-12-17 03:00:00,8.587338,326.97614,21.96,0,1014.7
2020-12-17 04:00:00,8.587338,326.97614,23.4,0,1015.1
2020-12-17 05:00:00,8.942214,319.8991,20.16,0,1015.5
2020-12-17 06:00:00,8.913181,313.36343,25.919998,0,1016.2
2020-12-17 07:00:00,9.1641035,315,27,0,1016.8
2020-12-17 08:00:00,15.0038395,329.7436,19.08,0,1017.4
2020-12-17 09:00:00,17.068707,332.35403,20.16,0,1017.4
2020-12-17 10:00:00,17.782686,328.24054,20.880001,0,1016.7
2020-12-17 11:00:00,16.992609,323.61566,21.96,0,1015.4
2020-12-17 12:00:00,16.039202,314.09064,25.56,0,1014.1
2020-12-17 13:00:00,16.485485,301.6075,24.48,0,1013.1
2020-12-17 14:00:00,18.359999,298.0725,25.919998,0,1012
2020-12-17 15:00:00,20.12461,296.56506,27,0,1011.5
2020-12-17 16:00:00,17.10284,300.34326,25.199999,0,1011.7
2020-12-17 17:00:00,10.383987,326.30994,19.08,0,1013
2020-12-17 18:00:00,10.30883,335.22485,21.24,0,1013.6
2020-12-17 19:00:00,10.24578,341.56506,22.319998,0,1014.1
2020-12-17 20:00:00,9.793058,342.89728,23.039999,0,1014.9
2020-12-17 21:00:00,9.904906,340.90652,23.4,0,1015.3
2020-12-17 22:00:00,9.504273,335.37643,24.119999,0,1015.2
2020-12-17 23:00:00,8.891343,328.24054,25.56,0,1014.9
2020-12-18 00:00:00,8.942214,319.8991,27,0,1014.7
2020-12-18 01:00:00,9.178235,318.17984,28.08,0,1014.6
2020-12-18 02:00:00,8.942214,319.8991,29.88,0,1014.3
2020-12-18 03:00:00,8.669949,318.36646,30.599998,0,1014.3
2020-12-18 04:00:00,8.404285,316.73572,29.88,0,1014.6
2020-12-18 05:00:00,7.928177,309.47247,28.8,0,1015.2
2020-12-18 06:00:00,7.8954163,294.22775,27.359999,0,1016
2020-12-18 07:00:00,6.830519,288.43497,20.880001,0,1016.8
2020-12-18 08:00:00,11.592894,323.84183,20.519999,0,1017.5
2020-12-18 09:00:00,15.844089,338.68207,23.4,0,1017.6
2020-12-18 10:00:00,16.981165,327.99463,24.119999,0,1016.9
2020-12-18 11:00:00,16.199999,323.13013,22.319998,0,1015.9
2020-12-18 12:00:00,16.055355,317.72632,23.039999,0,1014.9
2020-12-18 13:00:00,15.530151,314.06082,21.599998,0,1014
2020-12-18 14:00:00,17.373497,304.01935,23.759998,0,1013
2020-12-18 15:00:00,17.595861,300.76273,23.4,0,1012.7
2020-12-18 16:00:00,11.592894,306.1582,19.08,0,1013.1
2020-12-18 17:00:00,10.028439,338.9625,18.72,0,1015
2020-12-18 18:00:00,10.041354,14.534454,16.199999,0,1015.7
2020-12-18 19:00:00,9.779817,6.340164,18,0,1016.6
2020-12-18 20:00:00,10.08,360,19.44,0,1017.3
2020-12-18 21:00:00,9.885262,349.50854,21.24,0,1017.6
2020-12-18 22:00:00,9.83268,336.25052,23.4,0,1017.7
2020-12-18 23:00:00,9.693296,328.67133,25.199999,0,1017.4
2020-12-19 00:00:00,9.504272,322.69604,25.199999,0,1017.4
2020-12-19 01:00:00,9.422101,313.45184,24.48,0,1017.4
2020-12-19 02:00:00,9.585739,304.28687,24.119999,0,1017.2
2020-12-19 03:00:00,9.83268,293.7495,23.4,0,1017
2020-12-19 04:00:00,10.365251,290.32315,23.759998,0,1017.2
2020-12-19 05:00:00,11.043261,289.0256,24.48,0,1017.7
2020-12-19 06:00:00,10.44,316.3972,23.4,0,1018.4
2020-12-19 07:00:00,7.9932966,305.83765,17.64,0,1019.5
2020-12-19 08:00:00,12.096214,323.47113,19.08,0,1020.3
2020-12-19 09:00:00,14.168641,332.78387,17.28,0,1020.3
2020-12-19 10:00:00,14.345898,342.47443,17.28,0,1019.3
2020-12-19 11:00:00,12.413476,343.1416,15.84,0,1018.2
2020-12-19 12:00:00,12.43434,337.89056,16.919998,0,1017.3
2020-12-19 13:00:00,11.269782,333.43497,16.199999,0,1016.6
2020-12-19 14:00:00,10.315115,330.7512,19.08,0,1015.8
2020-12-19 15:00:00,10.1887,327.99463,17.64,0,1015.2
2020-12-19 16:00:00,7.9036193,329.93143,16.56,0,1015.1
